name,id,lat,lon
Archer Heights,KILCHICA654,41.81,-87.73
Bucktown,KILCHICA652,41.91,-87.68
Chicago Loop,KILCHICA594,41.88,-87.63
Chicago IL-Wally World,KILCHICA497,41.84,-87.66
Depaul Geography-Lincoln Park,KILCHICA52,41.93,-87.65
JerComm WX,KILCHICA656,41.80,-87.75
Lakeshore East,KILCHICA609,41.89,-87.62
Lincoln Park,KILCHICA516,41.91,-87.64
Logan Square,KILCHICA569,41.91,-87.70
North East Oak Park,KILOAKPA23,41.91,-87.78
Oak Park,KILOAKPA1,41.87,-87.79
Troposphere Group Chicago,KILCHICA658,41.87,-87.63
Ukranian Village,KILCHICA535,41.89,-87.69
United Center,KILCHICA498,41.88,-87.68
West Loop,KILCHICA520,41.88,-87.65
West Loop-Old St.Pats,KILCHICA130,41.88,-87.64
West Loop-Union Park,KILCHICA132,41.88,-87.66
West Town,KILCHICA588,41.89,-87.65
Wicker Park,KILCHICA616,41.91,-87.68
Ilinois Tech,KILCHICA534,41.83,-87.63
Bridgeport-Union Lofts,KILCHICA561,41.84,-87.65
Chicago Yacht Belmont Harbor,KILCHICA336,41.94,-87.64
Roscoe Village,KILCHICA317,41.94,-87.65
Brighton Park,KILCHICA225,41.82,-87.7
Hyde Park,KILCHICA505,41.79,-87.59
Evergreen Park,KILEVERG5,41.72,-87.71
Beverly Hills,KILCHICA509,41.72,-87.67
